# Cycle: 3174, status: ACC
#     Step              Filename       index    vel
         0  013_200913_2808_trajB.traj          21     -1
         1  013_200913_2808_trajB.traj          20     -1
         2  013_200913_2808_trajB.traj          19     -1
         3  013_200913_2808_trajB.traj          18     -1
         4  013_200913_2808_trajB.traj          17     -1
         5  013_200913_2808_trajB.traj          16     -1
         6  013_200913_2808_trajB.traj          15     -1
         7  013_200913_2808_trajB.traj          14     -1
         8  013_200913_2808_trajB.traj          13     -1
         9  013_200913_2808_trajB.traj          12     -1
        10  013_200913_2808_trajB.traj          11     -1
        11  013_200913_2808_trajB.traj          10     -1
        12  013_200913_2808_trajB.traj           9     -1
        13  013_200913_2808_trajB.traj           8     -1
        14  013_200913_2808_trajB.traj           7     -1
        15  013_200913_2808_trajB.traj           6     -1
        16  013_200913_2808_trajB.traj           5     -1
        17  013_200913_2808_trajB.traj           4     -1
        18  013_200913_2808_trajB.traj           3     -1
        19  013_200913_2808_trajB.traj           2     -1
        20  013_200913_2808_trajB.traj           1     -1
        21  013_200913_2808_trajB.traj           0     -1
        22  013_200913_2806_trajB.traj           1     -1
        23  013_200913_2806_trajB.traj           0     -1
        24  013_200913_2807_trajF.traj           1      1
        25  013_200913_2807_trajF.traj           2      1
        26  013_200913_2807_trajF.traj           3      1
        27  013_200913_2807_trajF.traj           4      1
        28  013_200913_2807_trajF.traj           5      1
        29  013_200913_2809_trajF.traj           0      1
        30  013_200913_2809_trajF.traj           1      1
        31  013_200913_2809_trajF.traj           2      1
        32  013_200913_2809_trajF.traj           3      1
        33  013_200913_2809_trajF.traj           4      1
        34  013_200913_2809_trajF.traj           5      1
        35  013_200913_2809_trajF.traj           6      1
        36  013_200913_2809_trajF.traj           7      1
        37  013_200913_2809_trajF.traj           8      1
        38  013_200913_2809_trajF.traj           9      1
        39  013_200913_2809_trajF.traj          10      1
        40  013_200913_2809_trajF.traj          11      1
        41  013_200913_2809_trajF.traj          12      1
        42  013_200913_2809_trajF.traj          13      1
        43  013_200913_2809_trajF.traj          14      1
        44  013_200913_2809_trajF.traj          15      1
        45  013_200913_2809_trajF.traj          16      1
        46  013_200913_2809_trajF.traj          17      1
        47  013_200913_2809_trajF.traj          18      1
        48  013_200913_2809_trajF.traj          19      1
        49  013_200913_2809_trajF.traj          20      1
        50  013_200913_2809_trajF.traj          21      1
