# Cycle: 746, status: ACC, move: ('wf', 9000, 3, 27)
#     Time       Orderp
         0    -0.733468
         1    -0.677635
         2    -0.610775
         3    -0.537567
         4    -0.463065
         5    -0.391469
         6    -0.325227
         7    -0.264859
         8    -0.209718
         9    -0.159009
        10    -0.112382
        11    -0.069829
        12    -0.031139
        13     0.004477
        14     0.038468
        15     0.072798
        16     0.109612
        17     0.150813
        18     0.197717
        19     0.250926
        20     0.310616
        21     0.376864
        22     0.449414
        23     0.527100
        24     0.607389
        25     0.686335
        26     0.759148
