# Cycle: 3137, status: ACC, move: ('wf', 9000, 3, 54)
#     Time       Orderp
         0    -1.736888
         1    -1.698114
         2    -1.660237
         3    -1.623612
         4    -1.587669
         5    -1.552386
         6    -1.517790
         7    -1.483401
         8    -1.449359
         9    -1.417279
        10    -1.386856
        11    -1.358596
        12    -1.332114
        13    -1.307277
        14    -1.283493
        15    -1.262590
        16    -1.244250
        17    -1.227634
        18    -1.212458
        19    -1.198424
        20    -1.186546
        21    -1.176049
        22    -1.168146
        23    -1.161785
        24    -1.157030
        25    -1.154059
        26    -1.151473
        27    -1.150710
        28    -1.151530
        29    -1.153856
        30    -1.157622
        31    -1.162911
        32    -1.169861
        33    -1.178609
        34    -1.189141
        35    -1.201059
        36    -1.213887
        37    -1.229468
        38    -1.246513
        39    -1.264998
        40    -1.285251
        41    -1.307964
        42    -1.332263
        43    -1.358779
        44    -1.388085
        45    -1.420673
        46    -1.455717
        47    -1.492606
        48    -1.530344
        49    -1.568585
        50    -1.606670
        51    -1.644379
        52    -1.683054
        53    -1.722582
