# Cycle: 786, status: ACC
#     Step              Filename       index    vel
         0  008_8577_1361_trajF.traj           7     -1
         1  008_8577_1361_trajF.traj           6     -1
         2  008_8577_1361_trajF.traj           5     -1
         3  008_8577_1361_trajF.traj           4     -1
         4  008_8577_1361_trajF.traj           3     -1
         5  008_8577_1361_trajF.traj           2     -1
         6  008_8577_1361_trajF.traj           1     -1
         7  008_8577_1361_trajF.traj           0     -1
         8  008_8577_1359_trajF.traj           9     -1
         9  008_8577_1359_trajF.traj           8     -1
        10  008_8577_1359_trajF.traj           7     -1
        11  008_8577_1359_trajF.traj           6     -1
        12  008_8577_1359_trajF.traj           5     -1
        13  008_8577_1359_trajF.traj           4     -1
        14  008_8577_1359_trajF.traj           3     -1
        15  008_8577_1359_trajF.traj           2     -1
        16  008_8577_1359_trajF.traj           1     -1
        17  008_8577_1358_trajB.traj           0      1
        18  008_8577_1358_trajB.traj           1      1
        19  008_8577_1358_trajB.traj           2      1
        20  008_8577_1358_trajB.traj           3      1
        21  008_8577_1358_trajB.traj           4      1
        22  008_8577_1358_trajB.traj           5      1
        23  008_8577_1358_trajB.traj           6      1
        24  008_8577_1358_trajB.traj           7      1
        25  008_8577_1358_trajB.traj           8      1
        26  008_8577_1358_trajB.traj           9      1
        27  008_8577_1358_trajB.traj          10      1
        28  008_8577_1358_trajB.traj          11      1
        29  008_8577_1358_trajB.traj          12      1
        30  008_8577_1358_trajB.traj          13      1
        31  008_8577_1358_trajB.traj          14      1
        32  008_8577_1358_trajB.traj          15      1
        33  008_8577_1358_trajB.traj          16      1
        34  008_8577_1360_trajB.traj           0      1
        35  008_8577_1360_trajB.traj           1      1
        36  008_8577_1360_trajB.traj           2      1
        37  008_8577_1360_trajB.traj           3      1
        38  008_8577_1360_trajB.traj           4      1
