# Cycle: 3198, status: ACC
#     Step              Filename       index    vel
         0  014_200914_2858_trajB.traj          20     -1
         1  014_200914_2858_trajB.traj          19     -1
         2  014_200914_2858_trajB.traj          18     -1
         3  014_200914_2858_trajB.traj          17     -1
         4  014_200914_2858_trajB.traj          16     -1
         5  014_200914_2858_trajB.traj          15     -1
         6  014_200914_2858_trajB.traj          14     -1
         7  014_200914_2858_trajB.traj          13     -1
         8  014_200914_2858_trajB.traj          12     -1
         9  014_200914_2858_trajB.traj          11     -1
        10  014_200914_2858_trajB.traj          10     -1
        11  014_200914_2858_trajB.traj           9     -1
        12  014_200914_2858_trajB.traj           8     -1
        13  014_200914_2858_trajB.traj           7     -1
        14  014_200914_2858_trajB.traj           6     -1
        15  014_200914_2858_trajB.traj           5     -1
        16  014_200914_2858_trajB.traj           4     -1
        17  014_200914_2858_trajB.traj           3     -1
        18  014_200914_2858_trajB.traj           2     -1
        19  014_200914_2858_trajB.traj           1     -1
        20  014_200914_2858_trajB.traj           0     -1
        21  014_200914_2856_trajB.traj           2     -1
        22  014_200914_2856_trajB.traj           1     -1
        23  014_200914_2856_trajB.traj           0     -1
        24  014_200914_2857_trajF.traj           1      1
        25  014_200914_2857_trajF.traj           2      1
        26  014_200914_2857_trajF.traj           3      1
        27  014_200914_2857_trajF.traj           4      1
        28  014_200914_2857_trajF.traj           5      1
        29  014_200914_2859_trajF.traj           0      1
        30  014_200914_2859_trajF.traj           1      1
        31  014_200914_2859_trajF.traj           2      1
        32  014_200914_2859_trajF.traj           3      1
        33  014_200914_2859_trajF.traj           4      1
        34  014_200914_2859_trajF.traj           5      1
        35  014_200914_2859_trajF.traj           6      1
        36  014_200914_2859_trajF.traj           7      1
        37  014_200914_2859_trajF.traj           8      1
        38  014_200914_2859_trajF.traj           9      1
        39  014_200914_2859_trajF.traj          10      1
        40  014_200914_2859_trajF.traj          11      1
        41  014_200914_2859_trajF.traj          12      1
        42  014_200914_2859_trajF.traj          13      1
        43  014_200914_2859_trajF.traj          14      1
        44  014_200914_2859_trajF.traj          15      1
        45  014_200914_2859_trajF.traj          16      1
        46  014_200914_2859_trajF.traj          17      1
        47  014_200914_2859_trajF.traj          18      1
        48  014_200914_2859_trajF.traj          19      1
        49  014_200914_2859_trajF.traj          20      1
        50  014_200914_2859_trajF.traj          21      1
