# Cycle: 3197, status: ACC
#     Step              Filename       index    vel
         0  008_200913_2832_trajB.traj          21     -1
         1  008_200913_2832_trajB.traj          20     -1
         2  008_200913_2832_trajB.traj          19     -1
         3  008_200913_2832_trajB.traj          18     -1
         4  008_200913_2832_trajB.traj          17     -1
         5  008_200913_2832_trajB.traj          16     -1
         6  008_200913_2832_trajB.traj          15     -1
         7  008_200913_2832_trajB.traj          14     -1
         8  008_200913_2832_trajB.traj          13     -1
         9  008_200913_2832_trajB.traj          12     -1
        10  008_200913_2832_trajB.traj          11     -1
        11  008_200913_2832_trajB.traj          10     -1
        12  008_200913_2832_trajB.traj           9     -1
        13  008_200913_2832_trajB.traj           8     -1
        14  008_200913_2832_trajB.traj           7     -1
        15  008_200913_2832_trajB.traj           6     -1
        16  008_200913_2832_trajB.traj           5     -1
        17  008_200913_2832_trajB.traj           4     -1
        18  008_200913_2832_trajB.traj           3     -1
        19  008_200913_2832_trajB.traj           2     -1
        20  008_200913_2832_trajB.traj           1     -1
        21  008_200913_2832_trajB.traj           0     -1
        22  008_200913_2830_trajB.traj           4     -1
        23  008_200913_2830_trajB.traj           3     -1
        24  008_200913_2830_trajB.traj           2     -1
        25  008_200913_2830_trajB.traj           1     -1
        26  008_200913_2830_trajB.traj           0     -1
        27  008_200913_2831_trajF.traj           1      1
        28  008_200913_2831_trajF.traj           2      1
        29  008_200913_2831_trajF.traj           3      1
        30  008_200913_2833_trajF.traj           0      1
        31  008_200913_2833_trajF.traj           1      1
        32  008_200913_2833_trajF.traj           2      1
        33  008_200913_2833_trajF.traj           3      1
        34  008_200913_2833_trajF.traj           4      1
        35  008_200913_2833_trajF.traj           5      1
        36  008_200913_2833_trajF.traj           6      1
        37  008_200913_2833_trajF.traj           7      1
        38  008_200913_2833_trajF.traj           8      1
        39  008_200913_2833_trajF.traj           9      1
        40  008_200913_2833_trajF.traj          10      1
        41  008_200913_2833_trajF.traj          11      1
        42  008_200913_2833_trajF.traj          12      1
        43  008_200913_2833_trajF.traj          13      1
        44  008_200913_2833_trajF.traj          14      1
        45  008_200913_2833_trajF.traj          15      1
        46  008_200913_2833_trajF.traj          16      1
        47  008_200913_2833_trajF.traj          17      1
        48  008_200913_2833_trajF.traj          18      1
        49  008_200913_2833_trajF.traj          19      1
        50  008_200913_2833_trajF.traj          20      1
        51  008_200913_2833_trajF.traj          21      1
        52  008_200913_2833_trajF.traj          22      1
