# Cycle: 3154, status: ACC, move: ('wf', 9000, 3, 49)
#     Time       Orderp
         0    -1.733170
         1    -1.649831
         2    -1.567181
         3    -1.485707
         4    -1.405694
         5    -1.326856
         6    -1.249656
         7    -1.174406
         8    -1.100831
         9    -1.028758
        10    -0.957302
        11    -0.885693
        12    -0.812371
        13    -0.738700
        14    -0.664885
        15    -0.592282
        16    -0.522373
        17    -0.457429
        18    -0.400540
        19    -0.352516
        20    -0.314140
        21    -0.285273
        22    -0.265590
        23    -0.254375
        24    -0.251650
        25    -0.258754
        26    -0.276088
        27    -0.303043
        28    -0.338371
        29    -0.381230
        30    -0.430411
        31    -0.486966
        32    -0.549715
        33    -0.617264
        34    -0.686572
        35    -0.756695
        36    -0.827013
        37    -0.896503
        38    -0.965135
        39    -1.032969
        40    -1.101692
        41    -1.171889
        42    -1.244281
        43    -1.319029
        44    -1.395007
        45    -1.472091
        46    -1.550275
        47    -1.629308
        48    -1.708737
