# Cycle: 3188, status: ACC, move: ('wf', 9000, 3, 60)
#     Time       Orderp
         0    -1.712714
         1    -1.653911
         2    -1.595806
         3    -1.538897
         4    -1.483265
         5    -1.429323
         6    -1.375564
         7    -1.322609
         8    -1.271083
         9    -1.220773
        10    -1.172888
        11    -1.126591
        12    -1.081254
        13    -1.036935
        14    -0.992778
        15    -0.947691
        16    -0.902162
        17    -0.855433
        18    -0.808207
        19    -0.759942
        20    -0.711408
        21    -0.663460
        22    -0.616555
        23    -0.571058
        24    -0.528020
        25    -0.488854
        26    -0.455366
        27    -0.428143
        28    -0.408308
        29    -0.396291
        30    -0.392132
        31    -0.396216
        32    -0.408541
        33    -0.428464
        34    -0.456268
        35    -0.490301
        36    -0.529456
        37    -0.573859
        38    -0.621556
        39    -0.671552
        40    -0.722864
        41    -0.773835
        42    -0.824079
        43    -0.872701
        44    -0.920247
        45    -0.967519
        46    -1.015364
        47    -1.063822
        48    -1.113182
        49    -1.164543
        50    -1.218028
        51    -1.273452
        52    -1.331158
        53    -1.390210
        54    -1.449590
        55    -1.510070
        56    -1.571548
        57    -1.634282
        58    -1.697234
        59    -1.761483
