# Cycle: 3190, status: ACC
#     Step              Filename       index    vel
         0  009_200914_2850_trajB.traj          19     -1
         1  009_200914_2850_trajB.traj          18     -1
         2  009_200914_2850_trajB.traj          17     -1
         3  009_200914_2850_trajB.traj          16     -1
         4  009_200914_2850_trajB.traj          15     -1
         5  009_200914_2850_trajB.traj          14     -1
         6  009_200914_2850_trajB.traj          13     -1
         7  009_200914_2850_trajB.traj          12     -1
         8  009_200914_2850_trajB.traj          11     -1
         9  009_200914_2850_trajB.traj          10     -1
        10  009_200914_2850_trajB.traj           9     -1
        11  009_200914_2850_trajB.traj           8     -1
        12  009_200914_2850_trajB.traj           7     -1
        13  009_200914_2850_trajB.traj           6     -1
        14  009_200914_2850_trajB.traj           5     -1
        15  009_200914_2850_trajB.traj           4     -1
        16  009_200914_2850_trajB.traj           3     -1
        17  009_200914_2850_trajB.traj           2     -1
        18  009_200914_2850_trajB.traj           1     -1
        19  009_200914_2850_trajB.traj           0     -1
        20  009_200914_2848_trajB.traj           7     -1
        21  009_200914_2848_trajB.traj           6     -1
        22  009_200914_2848_trajB.traj           5     -1
        23  009_200914_2848_trajB.traj           4     -1
        24  009_200914_2848_trajB.traj           3     -1
        25  009_200914_2848_trajB.traj           2     -1
        26  009_200914_2848_trajB.traj           1     -1
        27  009_200914_2848_trajB.traj           0     -1
        28  009_200914_2849_trajF.traj           1      1
        29  009_200914_2849_trajF.traj           2      1
        30  009_200914_2851_trajF.traj           0      1
        31  009_200914_2851_trajF.traj           1      1
        32  009_200914_2851_trajF.traj           2      1
        33  009_200914_2851_trajF.traj           3      1
        34  009_200914_2851_trajF.traj           4      1
        35  009_200914_2851_trajF.traj           5      1
        36  009_200914_2851_trajF.traj           6      1
        37  009_200914_2851_trajF.traj           7      1
        38  009_200914_2851_trajF.traj           8      1
        39  009_200914_2851_trajF.traj           9      1
        40  009_200914_2851_trajF.traj          10      1
        41  009_200914_2851_trajF.traj          11      1
        42  009_200914_2851_trajF.traj          12      1
        43  009_200914_2851_trajF.traj          13      1
        44  009_200914_2851_trajF.traj          14      1
        45  009_200914_2851_trajF.traj          15      1
        46  009_200914_2851_trajF.traj          16      1
        47  009_200914_2851_trajF.traj          17      1
        48  009_200914_2851_trajF.traj          18      1
        49  009_200914_2851_trajF.traj          19      1
