# Cycle: 784, status: ACC, move: ('wf', 9000, 3, 27)
#     Time       Orderp
         0    -0.750111
         1    -0.691289
         2    -0.626957
         3    -0.560684
         4    -0.495152
         5    -0.433189
         6    -0.378828
         7    -0.335548
         8    -0.303713
         9    -0.281091
        10    -0.265091
        11    -0.254109
        12    -0.247700
        13    -0.246290
        14    -0.250979
        15    -0.263364
        16    -0.284765
        17    -0.315027
        18    -0.352345
        19    -0.394510
        20    -0.440104
        21    -0.488508
        22    -0.538803
        23    -0.588856
        24    -0.636322
        25    -0.680979
        26    -0.724052
