# Cycle: 3184, status: ACC
#     Step              Filename       index    vel
         0  012_200912_2903_trajB.traj          21     -1
         1  012_200912_2903_trajB.traj          20     -1
         2  012_200912_2903_trajB.traj          19     -1
         3  012_200912_2903_trajB.traj          18     -1
         4  012_200912_2903_trajB.traj          17     -1
         5  012_200912_2903_trajB.traj          16     -1
         6  012_200912_2903_trajB.traj          15     -1
         7  012_200912_2903_trajB.traj          14     -1
         8  012_200912_2903_trajB.traj          13     -1
         9  012_200912_2903_trajB.traj          12     -1
        10  012_200912_2903_trajB.traj          11     -1
        11  012_200912_2903_trajB.traj          10     -1
        12  012_200912_2903_trajB.traj           9     -1
        13  012_200912_2903_trajB.traj           8     -1
        14  012_200912_2903_trajB.traj           7     -1
        15  012_200912_2903_trajB.traj           6     -1
        16  012_200912_2903_trajB.traj           5     -1
        17  012_200912_2903_trajB.traj           4     -1
        18  012_200912_2903_trajB.traj           3     -1
        19  012_200912_2903_trajB.traj           2     -1
        20  012_200912_2903_trajB.traj           1     -1
        21  012_200912_2903_trajB.traj           0     -1
        22  012_200912_2901_trajB.traj           1     -1
        23  012_200912_2901_trajB.traj           0     -1
        24  012_200912_2902_trajF.traj           1      1
        25  012_200912_2902_trajF.traj           2      1
        26  012_200912_2902_trajF.traj           3      1
        27  012_200912_2902_trajF.traj           4      1
        28  012_200912_2902_trajF.traj           5      1
        29  012_200912_2904_trajF.traj           0      1
        30  012_200912_2904_trajF.traj           1      1
        31  012_200912_2904_trajF.traj           2      1
        32  012_200912_2904_trajF.traj           3      1
        33  012_200912_2904_trajF.traj           4      1
        34  012_200912_2904_trajF.traj           5      1
        35  012_200912_2904_trajF.traj           6      1
        36  012_200912_2904_trajF.traj           7      1
        37  012_200912_2904_trajF.traj           8      1
        38  012_200912_2904_trajF.traj           9      1
        39  012_200912_2904_trajF.traj          10      1
        40  012_200912_2904_trajF.traj          11      1
        41  012_200912_2904_trajF.traj          12      1
        42  012_200912_2904_trajF.traj          13      1
        43  012_200912_2904_trajF.traj          14      1
        44  012_200912_2904_trajF.traj          15      1
        45  012_200912_2904_trajF.traj          16      1
        46  012_200912_2904_trajF.traj          17      1
        47  012_200912_2904_trajF.traj          18      1
        48  012_200912_2904_trajF.traj          19      1
        49  012_200912_2904_trajF.traj          20      1
