# Cycle: 3187, status: ACC
#     Step              Filename       index    vel
         0  010_200916_2817_trajB.traj          23     -1
         1  010_200916_2817_trajB.traj          22     -1
         2  010_200916_2817_trajB.traj          21     -1
         3  010_200916_2817_trajB.traj          20     -1
         4  010_200916_2817_trajB.traj          19     -1
         5  010_200916_2817_trajB.traj          18     -1
         6  010_200916_2817_trajB.traj          17     -1
         7  010_200916_2817_trajB.traj          16     -1
         8  010_200916_2817_trajB.traj          15     -1
         9  010_200916_2817_trajB.traj          14     -1
        10  010_200916_2817_trajB.traj          13     -1
        11  010_200916_2817_trajB.traj          12     -1
        12  010_200916_2817_trajB.traj          11     -1
        13  010_200916_2817_trajB.traj          10     -1
        14  010_200916_2817_trajB.traj           9     -1
        15  010_200916_2817_trajB.traj           8     -1
        16  010_200916_2817_trajB.traj           7     -1
        17  010_200916_2817_trajB.traj           6     -1
        18  010_200916_2817_trajB.traj           5     -1
        19  010_200916_2817_trajB.traj           4     -1
        20  010_200916_2817_trajB.traj           3     -1
        21  010_200916_2817_trajB.traj           2     -1
        22  010_200916_2817_trajB.traj           1     -1
        23  010_200916_2817_trajB.traj           0     -1
        24  010_200916_2815_trajB.traj           2     -1
        25  010_200916_2815_trajB.traj           1     -1
        26  010_200916_2815_trajB.traj           0     -1
        27  010_200916_2818_trajF.traj           0      1
        28  010_200916_2818_trajF.traj           1      1
        29  010_200916_2818_trajF.traj           2      1
        30  010_200916_2818_trajF.traj           3      1
        31  010_200916_2818_trajF.traj           4      1
        32  010_200916_2818_trajF.traj           5      1
        33  010_200916_2818_trajF.traj           6      1
        34  010_200916_2818_trajF.traj           7      1
        35  010_200916_2818_trajF.traj           8      1
        36  010_200916_2818_trajF.traj           9      1
        37  010_200916_2818_trajF.traj          10      1
        38  010_200916_2818_trajF.traj          11      1
        39  010_200916_2818_trajF.traj          12      1
        40  010_200916_2818_trajF.traj          13      1
        41  010_200916_2818_trajF.traj          14      1
        42  010_200916_2818_trajF.traj          15      1
        43  010_200916_2818_trajF.traj          16      1
        44  010_200916_2818_trajF.traj          17      1
        45  010_200916_2818_trajF.traj          18      1
        46  010_200916_2818_trajF.traj          19      1
        47  010_200916_2818_trajF.traj          20      1
        48  010_200916_2818_trajF.traj          21      1
        49  010_200916_2818_trajF.traj          22      1
        50  010_200916_2818_trajF.traj          23      1
        51  010_200916_2818_trajF.traj          24      1
