# Cycle: 3187, status: ACC, move: ('wf', 9000, 3, 52)
#     Time       Orderp
         0    -1.732319
         1    -1.655798
         2    -1.579744
         3    -1.504095
         4    -1.429561
         5    -1.356177
         6    -1.284621
         7    -1.214630
         8    -1.145920
         9    -1.078399
        10    -1.011553
        11    -0.944701
        12    -0.877182
        13    -0.808670
        14    -0.739632
        15    -0.672231
        16    -0.606734
        17    -0.544229
        18    -0.484967
        19    -0.430894
        20    -0.384326
        21    -0.346556
        22    -0.317495
        23    -0.296545
        24    -0.284750
        25    -0.281214
        26    -0.285750
        27    -0.299013
        28    -0.320836
        29    -0.351315
        30    -0.390118
        31    -0.437582
        32    -0.492299
        33    -0.552278
        34    -0.616535
        35    -0.683152
        36    -0.749676
        37    -0.815186
        38    -0.879495
        39    -0.943255
        40    -1.006439
        41    -1.069283
        42    -1.131916
        43    -1.195535
        44    -1.260151
        45    -1.327205
        46    -1.395472
        47    -1.463567
        48    -1.532253
        49    -1.601423
        50    -1.670531
        51    -1.740269
