# Cycle: 3194, status: ACC
#     Step              Filename       index    vel
         0  002_200918_2917_trajB.traj          11     -1
         1  002_200918_2917_trajB.traj          10     -1
         2  002_200918_2917_trajB.traj           9     -1
         3  002_200918_2917_trajB.traj           8     -1
         4  002_200918_2917_trajB.traj           7     -1
         5  002_200918_2917_trajB.traj           6     -1
         6  002_200918_2917_trajB.traj           5     -1
         7  002_200918_2917_trajB.traj           4     -1
         8  002_200918_2917_trajB.traj           3     -1
         9  002_200918_2917_trajB.traj           2     -1
        10  002_200918_2917_trajB.traj           1     -1
        11  002_200918_2917_trajB.traj           0     -1
        12  002_200918_2915_trajB.traj          18     -1
        13  002_200918_2915_trajB.traj          17     -1
        14  002_200918_2915_trajB.traj          16     -1
        15  002_200918_2915_trajB.traj          15     -1
        16  002_200918_2915_trajB.traj          14     -1
        17  002_200918_2915_trajB.traj          13     -1
        18  002_200918_2915_trajB.traj          12     -1
        19  002_200918_2915_trajB.traj          11     -1
        20  002_200918_2915_trajB.traj          10     -1
        21  002_200918_2915_trajB.traj           9     -1
        22  002_200918_2915_trajB.traj           8     -1
        23  002_200918_2915_trajB.traj           7     -1
        24  002_200918_2915_trajB.traj           6     -1
        25  002_200918_2915_trajB.traj           5     -1
        26  002_200918_2915_trajB.traj           4     -1
        27  002_200918_2915_trajB.traj           3     -1
        28  002_200918_2915_trajB.traj           2     -1
        29  002_200918_2915_trajB.traj           1     -1
        30  002_200918_2915_trajB.traj           0     -1
        31  002_200918_2916_trajF.traj           1      1
        32  002_200918_2918_trajF.traj           0      1
        33  002_200918_2918_trajF.traj           1      1
        34  002_200918_2918_trajF.traj           2      1
        35  002_200918_2918_trajF.traj           3      1
        36  002_200918_2918_trajF.traj           4      1
        37  002_200918_2918_trajF.traj           5      1
        38  002_200918_2918_trajF.traj           6      1
        39  002_200918_2918_trajF.traj           7      1
        40  002_200918_2918_trajF.traj           8      1
        41  002_200918_2918_trajF.traj           9      1
        42  002_200918_2918_trajF.traj          10      1
        43  002_200918_2918_trajF.traj          11      1
        44  002_200918_2918_trajF.traj          12      1
