# Cycle: 3194, status: ACC, move: ('wf', 9000, 3, 45)
#     Time       Orderp
         0    -1.710913
         1    -1.678450
         2    -1.646573
         3    -1.615454
         4    -1.584725
         5    -1.554520
         6    -1.525348
         7    -1.498005
         8    -1.472317
         9    -1.448697
        10    -1.426935
        11    -1.407211
        12    -1.389514
        13    -1.373731
        14    -1.360766
        15    -1.350005
        16    -1.340053
        17    -1.330926
        18    -1.322946
        19    -1.316000
        20    -1.311345
        21    -1.308857
        22    -1.307975
        23    -1.308622
        24    -1.310507
        25    -1.313944
        26    -1.319091
        27    -1.326848
        28    -1.336589
        29    -1.348528
        30    -1.362358
        31    -1.378310
        32    -1.395810
        33    -1.414153
        34    -1.433636
        35    -1.455760
        36    -1.480075
        37    -1.505102
        38    -1.530798
        39    -1.555853
        40    -1.583116
        41    -1.611829
        42    -1.642122
        43    -1.673652
        44    -1.705798
