# Cycle: 3195, status: ACC, move: ('wf', 9000, 3, 113)
#     Time       Orderp
         0    -1.725114
         1    -1.681586
         2    -1.638436
         3    -1.595339
         4    -1.553631
         5    -1.513321
         6    -1.474477
         7    -1.436319
         8    -1.399693
         9    -1.364312
        10    -1.330737
        11    -1.299268
        12    -1.270161
        13    -1.242918
        14    -1.217819
        15    -1.194699
        16    -1.173365
        17    -1.153919
        18    -1.135662
        19    -1.118631
        20    -1.102875
        21    -1.088660
        22    -1.075031
        23    -1.062972
        24    -1.053075
        25    -1.043984
        26    -1.035764
        27    -1.027472
        28    -1.019711
        29    -1.012004
        30    -1.004099
        31    -0.995623
        32    -0.986690
        33    -0.977776
        34    -0.968468
        35    -0.959029
        36    -0.950095
        37    -0.941065
        38    -0.932284
        39    -0.922222
        40    -0.912239
        41    -0.903155
        42    -0.893378
        43    -0.882812
        44    -0.871993
        45    -0.860607
        46    -0.849031
        47    -0.837458
        48    -0.826354
        49    -0.815004
        50    -0.803725
        51    -0.791474
        52    -0.778600
        53    -0.765960
        54    -0.752034
        55    -0.737937
        56    -0.723789
        57    -0.709523
        58    -0.694780
        59    -0.679140
        60    -0.663433
        61    -0.648245
        62    -0.633169
        63    -0.619084
        64    -0.607326
        65    -0.598862
        66    -0.593800
        67    -0.590490
        68    -0.589179
        69    -0.590586
        70    -0.594803
        71    -0.602745
        72    -0.613008
        73    -0.624417
        74    -0.638358
        75    -0.654152
        76    -0.671583
        77    -0.690743
        78    -0.711292
        79    -0.732913
        80    -0.754723
        81    -0.776058
        82    -0.797237
        83    -0.819042
        84    -0.841359
        85    -0.863459
        86    -0.886133
        87    -0.907837
        88    -0.929388
        89    -0.951022
        90    -0.972643
        91    -0.994483
        92    -1.016701
        93    -1.039279
        94    -1.062173
        95    -1.086347
        96    -1.111289
        97    -1.137850
        98    -1.166067
        99    -1.195916
       100    -1.226868
       101    -1.260189
       102    -1.295513
       103    -1.332507
       104    -1.371027
       105    -1.410877
       106    -1.452566
       107    -1.494468
       108    -1.538283
       109    -1.583508
       110    -1.631445
       111    -1.680453
       112    -1.731028
